playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
trammal01,Alan Trammell,Official Induction,SS,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1991,Alan Trammell,DET,36,458,1761,1586,436,33,193,222,37,0.274905422,0.335816618,0.395964691,0.731781309,6.173566374635405,matched
trammal01,Alan Trammell,Official Induction,SS,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
trammal01,Alan Trammell,Official Induction,SS,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2001,Albert Pujols,STL,26,1558,6782,5733,1900,408,1230,1186,75,0.331414617,0.425748414,0.62445491,1.050203324,77.37107361664691,matched
pujolal01,Albert Pujols,Statistical Induction,1B,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
pujolal01,Albert Pujols,Statistical Induction,1B,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
