playerID,name,source_group,primary_position,batting_seasons_matched,batting_games,hits,home_runs,runs_batted_in,stolen_bases,career_batting_fwar,career_batting_average,pitching_seasons_matched,pitching_games,wins,losses,saves,strikeouts,career_pitching_fwar,career_total_fwar
flickel01,Elmer Flick,Official Induction,OF,13,1483,1752,48,756,330,56,0.313,0,0,0,0,0,0,0,56
slaugen01,Enos Slaughter,Official Induction,OF,19,2380,2383,169,1304,71,51.4,0.3,0,0,0,0,0,0,0,51.4
rixeyep01,Eppa Rixey,Official Induction,P,21,694,291,3,111,2,-2.3,0.191,21,692,266,251,14,1350,64.7,62.4
bankser01,Ernie Banks,Official Induction,1B,19,2528,2583,512,1636,50,63.3,0.274,0,0,0,0,0,0,0,63.3
lombaer01,Ernie Lombardi,Official Induction,C,17,1853,1792,190,990,8,41.8,0.306,0,0,0,0,0,0,0,41.8
hernafe02,Felix Hernandez,Corrective Induction,P,13,391,4,1,7,0,-0,0.08,15,419,169,136,0,2524,54,54
jenkife01,Fergie Jenkins,Official Induction,P,12,450,148,13,85,0,1.7,0.165,19,664,284,226,7,3192,80.1,81.8
lindofr01,Francisco Lindor,Active Induction,SS,12,1540,1667,279,856,216,60.6,0.273,0,0,0,0,0,0,0,60.6
rodrifr03,Francisco Rodriguez,Corrective Induction,P,1,73,1,0,0,0,0,0.5,18,1001,53,56,437,1185,15.9,15.9
chancfr01,Frank Chance,Official Induction,1B,16,1286,1273,20,596,401,48.1,0.296,0,0,0,0,0,0,0,48.1
robinfr02,Frank Robinson,Official Induction,OF,21,2808,2943,586,1812,204,104,0.294,0,0,0,0,0,0,0,104
thomafr04,Frank Thomas,Official Induction,1B,19,2322,2468,521,1704,32,72.1,0.301,0,0,0,0,0,0,0,72.1
friscfr01,Frankie Frisch,Official Induction,2B,19,2311,2880,105,1244,419,74.8,0.316,0,0,0,0,0,0,0,74.8
clarkfr01,Fred Clarke,Official Induction,OF,21,2242,2672,67,1015,506,72.8,0.312,0,0,0,0,0,0,0,72.8
mcgrifr01,Fred McGriff,Official Induction,1B,19,2460,2490,493,1550,72,56.9,0.284,0,0,0,0,0,0,0,56.9
freemfr01,Freddie Freeman,Active Induction,1B,17,2184,2435,367,1324,104,64.7,0.299,0,0,0,0,0,0,0,64.7
lindsfr01,Freddie Lindstrom,Official Induction,3B,13,1438,1747,103,779,84,30.8,0.311,0,0,0,0,0,0,0,30.8
