playerID,image_url,name,source_group,bbref_url,image_source,mlbam_id
kleinch01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/117141/headshot/67/current",Chuck Klein,Official Hall,https://www.baseball-reference.com/players/k/kleinch01.shtml,MLB,117141
griffcl01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/115150/headshot/67/current",Clark Griffith,Official Hall,https://www.baseball-reference.com/players/g/griffcl01.shtml,MLB,115150
kershcl01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/477132/headshot/67/current",Clayton Kershaw,Hall Ledger Addition,https://www.baseball-reference.com/players/k/kershcl01.shtml,MLB,477132
hamelco01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/430935/headshot/67/current",Cole Hamels,Passed-Over Players,https://www.baseball-reference.com/players/h/hamelco01.shtml,MLB,430935
bellco99,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/492555/headshot/67/current",Cool Papa Bell,Official Hall,https://www.baseball-reference.com/players/b/bellco99.shtml,MLB,492555
seageco01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/608369/headshot/67/current",Corey Seager,Active Hall,https://www.baseball-reference.com/players/s/seageco01.shtml,MLB,608369
biggicr01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110987/headshot/67/current",Craig Biggio,Official Hall,https://www.baseball-reference.com/players/b/biggicr01.shtml,MLB,110987
kimbrcr01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/518886/headshot/67/current",Craig Kimbrel,Active Inductions,https://www.baseball-reference.com/players/k/kimbrcr01.shtml,MLB,518886
torricr99,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/506640/headshot/67/current",Cristóbal Torriente,Official Hall,https://www.baseball-reference.com/players/t/torricr99.shtml,MLB,506640
schilcu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/121811/headshot/67/current",Curt Schilling,Hall Ledger Addition,https://www.baseball-reference.com/players/s/schilcu01.shtml,MLB,121811
